L	0
R	74.7517
L	0.221175
R	1.82474
L	0.167653
R	7.75641
L	0.254732
R	6.39782
L	0.00943158
R	0.461392
L	1.21787
R	1.2488
L	2.04602
R	4.18952
L	0.391686
R	2.21733
L	13.2885
R	2.29252
L	2.27072
R	1.65785
L	1.47529
R	3.97142
L	4.16153
R	0.952229
L	0.379913
R	3.87217
L	3.73617
R	3.47553
L	0.594256
R	2.84271
L	0.721789
R	6.56087
L	1.04056
R	6.4006
L	0.874427
R	4.35916
L	2.91896
R	4.45267
L	1.26666
R	4.23353
L	1.82723
R	1.75414
L	1.8051
R	1.18821
L	0.579345
R	1.10552
L	0.9961
R	0.977353
L	3.40995
R	3.5542
L	2.46092
R	10.6289
L	0.719143
R	0.219018
L	0.353757
R	1.70846
L	2.49517
R	3.86296
L	1.01041
R	2.34523
L	0.63148
R	0.996662
L	0.284777
R	1.68586
L	0.370467
R	0.72055
L	0.409331
R	4.57882
L	0.379677
R	1.84575
L	0.302794
R	3.50787
L	2.67473
R	1.253
L	0.872763
R	0.528221
L	0.238434
R	0.181136
L	3.47106
R	0.537907
L	5.06788
R	4.60108
L	0.465295
R	0.41268
L	1.83847
R	2.52539
L	6.00868
R	0.841567
L	5.1655
R	1.02496
L	2.75124
R	2.87237
L	0.496286
R	6.65367
L	0.238067
R	2.86736
L	1.42836
R	4.71118
L	0.0829544
R	10.2347
L	4.83711
R	4.04309
L	0.775446
R	3.021
L	1.90082
R	2.15009
L	1.28342
R	1.37944
L	1.17406
R	0.851861
L	0.236211
R	1.4144
L	1.11088
R	3.49206
L	2.24816
R	7.55065
L	4.08847
R	1.52557
L	0.052682
R	2.01083
L	1.11776
R	0.331095
L	0.0344146
R	6.09549
L	1.44517
R	6.35036
L	3.70749
R	2.18687
L	0.912085
R	2.20049
L	1.34713
R	6.63143
L	0.309857
R	1.89796
L	0.516208
R	2.92505
L	2.78919
R	3.17242
L	0.735582
R	10.1508
L	0.744367
R	3.17721
L	1.35253
R	5.6631
L	1.75489
R	2.23012
L	0.641466
R	1.37748
L	0.83234
R	0.370047
L	2.07691
R	2.15911
L	0.211792
R	1.7786
L	1.6447
R	2.66723
L	0.261312
R	0.878605
L	1.75851
R	1.05
L	0.573681
R	4.12121
L	0.484349
R	5.7764
L	3.55047
R	1.00126
L	1.59382
R	2.1052
L	1.25927
R	1.54117
L	1.84892
R	4.59526
L	2.72432
R	0.154743
L	0.135531
R	3.55929
L	3.81489
R	0.225167
L	1.05758
R	0.374345
L	0.584171
R	2.67975
L	1.27905
R	2.31201
L	0.82673
R	1.67683
L	1.86716
R	4.42347
L	0.566237
R	1.50007
L	1.02388
R	1.39261
L	2.23737
R	6.92513
L	2.67741
R	3.38623
L	1.215
R	2.48479
L	6.01173
R	3.21698
L	0.14709
R	2.04877
L	0.502662
R	5.06388
L	2.38026
R	1.0199
L	1.73682
R	2.23122
L	1.06837
R	0.925156
L	3.05498
R	2.05614
L	0.369852
R	1.96036
L	1.23063
R	3.71185
L	3.00682
R	1.16674
L	2.10149
R	0.925134
L	2.64343
R	3.77201
L	0.480998
R	3.78935
L	0.459928
R	2.76307
L	4.09973
R	2.68283
L	1.9633
R	1.6832
L	1.08465
R	1.91278
L	1.60773
R	0.373196
L	0.660337
R	2.67341
L	4.59506
R	1.56803
L	0.253169
R	3.03662
L	0.589107
R	5.27273
L	0.720827
R	5.50323
L	0.469278
R	1.64753
L	2.46166
R	4.21948
L	0.589393
R	3.05365
L	1.63716
R	2.07229
L	0.580427
R	0.338818
L	2.24647
R	2.16676
L	2.91915
R	1.17076
L	0.510011
R	3.87052
L	0.0217828
R	0.73876
L	1.54348
R	0.259783
L	0.863682
R	3.7715
L	1.97947
R	0.606891
L	4.63913
R	0.955283
L	3.97017
R	5.46074
L	1.50142
R	5.07871
L	1.83062
R	3.71439
L	3.41779
R	5.17004
L	0.999655
R	2.6623
L	1.15237
R	3.8704
L	0.584175
R	2.95545
L	0.405734
R	1.0164
L	2.74611
R	0.28109
L	1.3853
R	4.47033
L	4.81393
R	0.459964
L	0.444546
R	0.387689
L	1.22508
R	2.60337
L	0.309226
R	4.34484
L	1.61242
R	0.429145
L	0.274077
R	7.15539
L	6.30898
R	0.894503
L	0.359006
R	6.62967
L	0.566792
R	1.1236
L	2.99275
R	1.99501
L	3.06312
R	1.41552
L	3.68834
R	2.09285
L	3.82201
R	2.60947
L	1.05235
R	2.18171
L	2.4216
R	2.27368
L	3.04812
R	2.38362
L	2.18821
R	4.05242
L	0.944437
R	2.73064
L	0.750043
R	0.27035
L	1.5994
R	4.44864
L	5.27431
R	1.8956
L	2.10357
R	2.26339
L	0.476761
R	5.24284
L	1.296
R	7.98536
L	0.50951
R	1.68146
L	0.178084
R	0.665771
L	2.53594
R	1.70366
L	0.270871
R	3.99741
L	2.91625
R	1.08626
L	1.14734
R	4.90401
L	15.7467
R	1.52689
L	0.75192
R	2.29518
L	1.76277
R	1.79209
L	2.68572
R	6.56206
L	0.76044
R	1.93712
L	1.05945
R	1.07233
L	4.53231
R	3.28889
L	1.90949
R	1.93921
L	0.781429
R	0.92035
L	2.52739
R	1.86648
L	2.94867
R	3.42212
L	5.74552
R	0.321825
